Time Expressions
kanina,earlier; a while ago
kaninang umaga,early this morning
kaninang tanghali,early this afternoon
kahapon,yesterday
kahapon ng umaga,yesterday morning
kahapon ng tanghali,yesterday at noon
kahapon ng hapon,yesterday afternoon
kagabi,last night
kamakalawa,day before yesterday(2 days ago)
noon,in the past; before; at that time
noong isang araw,the other day
noong isang linggo,last week
noong isang buwan,last month
noong isang taon,last year
noong Linggo,last Sunday
noong Hunyo,last June
ngayon,now; today
ngayong umaga,this morning
ngayong tanghali,this noon
ngayong gabi,tonight
araw-araw,everyday
gabi-gabi,every night; nightly
linggo-linggo,every week, weekly
buwan-buwan,every month; monthly
taon-taon,every year; yearly
tuwing umaga,every morning
tuwing tanghali,everyday at noon
tuwing hapon,every afternoon
tuwing gabi,every night
palagi,always
minsan,sometimes
bukas,tomorrow
bukas ng umaga,tomorrow morning
bukas ng tanghali,tomorrow at noon
bukas ng hapon,tomorrow afternoon
bukas ng gabi,tomorrow night
mamaya,later
mamayang tanghali,later at noon
mamayang hapon,later this afternoon
mamayang gabi,later tonight
sa makalawa,day after tomorrow(in 2 days)
sa isang linggo,next week
sa isang buwan,next month
sa isang taon,next year
sa Linggo,on/next Sunday
sa Hulyo,in/next July
sa susunod,next time
balang araw,someday
