Time Expressions
kanina,earlier; a while ago
kaninang ' ',early this ' '
umaga,morning
kahapon,yesterday
kahapon ng ' ', yesterday ' '
hapon,afternoon
kagabi,last night
kamakalawa,day before yesterday(2 days ago)
noon,in the past; before; at that time
noong isang araw,the other day
noong isang ' ',last ' '
noong ' ',last ' '
ngayon,now; today
ngayong ' ',this ' '
araw-araw,everyday
gabi-gabi,every night; nightly
linggo-linggo,every week; weekly
buwan-buwan,every month; monthly
taon-taon,every year; yearly
tuwing ' ',every ' '
palagi,always
minsan,sometimes
bukas,tomorrow
bukas ng ' ',tomorrow ' '
mamaya,later
mamayang ' ',later at/this/to ' '
sa makalawa,day after tomorrow(in 2 days)
sa isang ' ',next ' '
sa ' ',next ' '
susunod,next time
balang araw,someday
