front, back
maglinis,to clean
maglaba,to wash
maglaro,to play
magturo,to teach
magsalita,to speak
magluto,to cook
magpasyal,to take a walk
mag-aral,to study
mag-isip,to think
magtrabaho,to work
magsulat,to write
magbasa,to read
maglakad,to walk
magbilang,to count
magsayaw,to dance
magbili,to sell
mag-arkila,to rent
magtanong,to ask question
magbayad,to pay
magtanim,to plant
uminom,to drink
kumain,to eat
umupo,to sit
bumilang,to count
lumakad,to walk
tumayo,to stand
tumakbo,to run
umalis,to leave
pumunta,to go
umuwi,to go home
lumabas,to go out
pumasok,to enter
bumasa,to read
umawit,to sing
kumanta,to sing
dumating,to arrive
sumulat,to write
lumangoy,to swim
humingi,to ask for
umiyak,to cry
tumawa,to laugh
gumawa,to do/make
bumili,to buy
umarkila,to rent
tumutog,to play an instrument
gumapang,to crawl
bumilang,to count
manood,to watch
matulog,to sleep
makinig,to listen
maligo,to take a shower
matuto,to learn
maupo,to sit
magutom,to be hungry
magalit,to be angry
mamatay,to die
mmkinig,to listen to
mahiya,to be ashamed
malungkot,to be sad
mahiga,to lie down
matuwa,to be delighted
matakot,to be afraid
makita,to be seen
maalala,to be remembered
mabasag,to be broken
masunog,to be burned
mabasa,to be able to read
marinig,to be heard(accidentally)
alisin,to be removed
basahin,to be read
basain,to be wet
bilihin,to be bought
kainin,to be eaten
dalahin,to be brought
lutuin,to be cooked
awitin,to be sung
kantahin,to be sung
sabihin,to be told/said
sulatin,to be written
mahalin,to be loved
asalin,to be prayed (for)
laruin,to be played
gamutin,to be cured
inumin,to be drunk
gisingin,to be awakened
tawagin,to be called
patayin,to be killed
batiin,to be greeted
linisin,to be cleaned
bilangin,to be counted
sunduin,to be picked up
purihin,to be praised
